bathrooms,bedrooms,pets_allowed,price,square_feet,state
1.0,0.0,0,790,101,DC
1.0,1.0,0,425,106,IN
1.0,0.0,0,1390,107,VA
1.0,0.0,0,925,116,WA
1.0,0.0,0,880,125,VA
1.0,0.0,0,2475,130,NY
1.0,0.0,0,1800,132,CA
1.0,0.0,0,840,136,DC
1.0,0.0,0,1495,138,CA
1.0,0.0,0,890,141,DC
1.0,0.0,0,990,146,DC
1.0,0.0,0,840,150,DC
1.0,1.0,1,1795,156,AZ
1.0,0.0,0,1090,178,DC
1.0,0.0,0,1695,190,CA
1.0,1.0,1,1560,200,NC
1.0,1.0,1,1560,200,NC
1.0,1.0,0,1000,200,TX
1.0,1.0,0,950,200,CA
1.0,1.0,0,625,200,GA
1.0,1.0,0,600,200,NC
1.0,1.0,0,544,200,FL
1.0,1.0,0,525,200,TX
1.0,1.0,0,450,200,AZ
1.0,1.0,0,750,215,FL
1.0,1.0,0,2000,219,AL
1.0,1.0,0,1400,219,CA
1.0,1.0,0,1095,219,MD
1.0,1.0,0,915,219,CO
1.0,1.0,0,900,219,MD
1.0,1.0,0,865,219,FL
1.0,1.0,0,750,219,TX
1.0,1.0,0,725,219,CO
1.0,1.0,0,650,219,VA
1.0,1.0,0,650,219,GA
1.0,1.0,0,645,219,FL
1.0,1.0,0,595,219,NM
1.0,1.0,0,750,220,TX
1.0,0.0,1,1195,223,WA
1.0,0.0,0,1150,225,WA
1.0,1.0,1,942,225,IL
1.0,0.0,1,1250,228,WA
1.0,1.0,0,800,230,NC
1.0,1.0,0,685,230,FL
1.0,1.0,1,525,230,TN
1.0,0.0,1,1095,231,WA
1.0,0.0,1,1695,232,CA
1.0,0.0,0,990,239,DC
1.0,1.0,1,775,240,WA
1.0,0.0,1,1299,243,WA
1.0,1.0,1,705,245,AK
1.0,1.0,0,1800,250,CA
1.0,1.0,0,1600,250,CA
1.0,1.0,0,1500,250,CA
1.0,1.0,0,1330,250,CA
1.0,1.0,0,1310,250,CA
1.0,1.0,0,1300,250,CA
1.0,1.0,0,1295,250,CA
1.0,1.0,0,1255,250,CA
1.0,1.0,0,1250,250,WA
1.0,1.0,0,1250,250,CA
1.0,1.0,0,1200,250,CO
1.0,1.0,0,1200,250,CO
1.0,1.0,0,1175,250,CA
1.0,1.0,0,1155,250,CA
1.0,1.0,0,1150,250,MD
1.0,1.0,0,1145,250,MA
1.0,1.0,0,1135,250,CA
1.0,1.0,0,1115,250,CA
1.0,0.0,0,1095,250,IL
1.0,1.0,0,1090,250,VA
1.0,1.0,0,1075,250,IL
1.0,1.0,0,1050,250,CA
1.0,1.0,0,1050,250,CO
1.0,1.0,0,1045,250,VA
1.0,1.0,0,1025,250,WA
1.0,1.0,0,1025,250,TX
1.0,1.0,0,1005,250,CA
1.0,1.0,0,1000,250,CA
1.0,1.0,0,1000,250,FL
1.0,1.0,0,1000,250,MD
