bathrooms,bedrooms,pets_allowed,price,square_feet,state
1.0,0.0,No,790,101,DC
1.0,1.0,No,425,106,IN
1.0,0.0,No,1390,107,VA
1.0,0.0,No,925,116,WA
1.0,0.0,No,880,125,VA
1.0,0.0,No,2475,130,NY
1.0,0.0,No,1800,132,CA
1.0,0.0,No,840,136,DC
1.0,0.0,No,1495,138,CA
1.0,0.0,No,890,141,DC
1.0,0.0,No,990,146,DC
1.0,0.0,No,840,150,DC
1.0,1.0,Yes,1795,156,AZ
1.0,0.0,No,1090,178,DC
1.0,0.0,No,1695,190,CA
1.0,1.0,Yes,1560,200,NC
1.0,1.0,Yes,1560,200,NC
1.0,1.0,No,1000,200,TX
1.0,1.0,No,950,200,CA
1.0,1.0,No,625,200,GA
1.0,1.0,No,600,200,NC
1.0,1.0,No,544,200,FL
1.0,1.0,No,525,200,
1.0,1.0,No,450,200,AZ
1.0,1.0,No,750,215,FL
1.0,1.0,No,2000,219,AL
1.0,1.0,No,1400,219,CA
1.0,1.0,No,1095,219,MD
1.0,1.0,No,915,219,CO
1.0,1.0,No,900,219,MD
1.0,1.0,No,865,219,FL
1.0,1.0,No,750,219,
1.0,1.0,No,725,219,CO
1.0,1.0,No,650,219,VA
1.0,1.0,No,650,219,GA
1.0,1.0,No,645,219,FL
1.0,1.0,No,595,219,NM
1.0,1.0,No,750,220,
1.0,0.0,Yes,1195,223,WA
1.0,0.0,No,1150,225,WA
1.0,1.0,Yes,942,225,IL
1.0,0.0,Yes,1250,228,WA
1.0,1.0,No,800,230,NC
1.0,1.0,No,685,230,FL
1.0,1.0,Yes,525,230,TN
1.0,0.0,Yes,1095,231,WA
1.0,0.0,Yes,1695,232,CA
1.0,0.0,No,990,239,DC
1.0,1.0,Yes,775,240,WA
1.0,0.0,Yes,1299,243,WA
1.0,1.0,Yes,705,245,AK
1.0,1.0,No,1800,250,CA
1.0,1.0,No,1600,250,CA
1.0,1.0,No,1500,250,CA
1.0,1.0,No,1330,250,CA
1.0,1.0,No,1310,250,CA
1.0,1.0,No,1300,250,CA
1.0,1.0,No,1295,250,CA
1.0,1.0,No,1255,250,CA
1.0,1.0,No,1250,250,WA
1.0,1.0,No,1250,250,CA
1.0,1.0,No,1200,250,CO
1.0,1.0,No,1200,250,CO
1.0,1.0,No,1175,250,CA
1.0,1.0,No,1155,250,CA
1.0,1.0,No,1150,250,MD
1.0,1.0,No,1145,250,MA
1.0,1.0,No,1135,250,CA
1.0,1.0,No,1115,250,CA
1.0,0.0,No,1095,250,IL
1.0,1.0,No,1090,250,VA
1.0,1.0,No,1075,250,IL
1.0,1.0,No,1050,250,CA
1.0,1.0,No,1050,250,CO
1.0,1.0,No,1045,250,VA
1.0,1.0,No,1025,250,WA
1.0,1.0,No,1025,250,
1.0,1.0,No,1005,250,CA
1.0,1.0,No,1000,250,CA
1.0,1.0,No,1000,250,FL
1.0,1.0,No,1000,250,MD
1.0,1.0,No,1000,250,CO
1.0,1.0,No,1000,250,CO
1.0,1.0,No,1000,250,CO
1.0,1.0,No,1000,250,CA
1.0,1.0,No,975,250,CA
1.0,1.0,No,965,250,NJ
1.0,1.0,No,955,250,MD
1.0,1.0,No,950,250,CO
1.0,1.0,No,950,250,CO
1.0,1.0,No,930,250,CA
1.0,1.0,No,925,250,CO
1.0,1.0,No,925,250,CA
1.0,1.0,No,925,250,MD
1.0,1.0,No,915,250,CO
1.0,1.0,No,900,250,MD
1.0,1.0,No,900,250,FL
1.0,1.0,No,900,250,CO
1.0,1.0,No,900,250,CO
1.0,1.0,No,900,250,CA
1.0,1.0,No,900,250,CA
1.0,1.0,No,895,250,CO
1.0,1.0,No,895,250,CO
1.0,1.0,No,875,250,VA
1.0,1.0,No,865,250,FL
1.0,1.0,No,865,250,GA
1.0,1.0,No,860,250,FL
1.0,1.0,No,855,250,CO
1.0,1.0,No,850,250,VA
1.0,1.0,No,850,250,CO
1.0,1.0,No,850,250,VA
1.0,1.0,No,850,250,TN
1.0,1.0,No,850,250,FL
1.0,1.0,No,850,250,OR
1.0,1.0,No,825,250,MD
1.0,1.0,No,805,250,GA
1.0,1.0,No,800,250,CO
1.0,1.0,No,800,250,CO
1.0,1.0,No,800,250,MD
1.0,1.0,No,800,250,FL
1.0,1.0,No,800,250,CA
1.0,1.0,No,800,250,FL
1.0,1.0,No,795,250,CO
1.0,1.0,No,785,250,CO
1.0,1.0,No,785,250,CO
1.0,1.0,No,760,250,CO
1.0,1.0,No,755,250,FL
1.0,1.0,No,755,250,DE
1.0,1.0,No,755,250,PA
1.0,1.0,No,750,250,CA
1.0,1.0,No,750,250,FL
1.0,1.0,No,750,250,MD
1.0,1.0,No,750,250,NC
1.0,1.0,No,725,250,TN
1.0,1.0,No,725,250,GA
1.0,1.0,No,720,250,TX
1.0,1.0,No,705,250,TX
1.0,1.0,No,700,250,AZ
1.0,1.0,No,700,250,TX
1.0,1.0,No,700,250,CO
1.0,1.0,No,700,250,AZ
1.0,1.0,No,700,250,FL
1.0,1.0,No,700,250,MD
1.0,1.0,No,700,250,CO
1.0,1.0,No,700,250,CO
1.0,1.0,No,700,250,TX
1.0,0.0,Yes,695,250,IA
1.0,1.0,No,695,250,IL
1.0,1.0,No,685,250,SC
1.0,1.0,No,685,250,AZ
1.0,1.0,No,675,250,TX
1.0,1.0,No,675,250,MN
1.0,1.0,No,660,250,AZ
1.0,1.0,No,650,250,MD
1.0,1.0,No,650,250,OR
1.0,1.0,No,650,250,FL
1.0,1.0,No,650,250,TX
1.0,1.0,No,650,250,TN
1.0,1.0,No,645,250,SC
1.0,1.0,No,645,250,NC
1.0,1.0,No,625,250,FL
1.0,1.0,No,625,250,
1.0,1.0,No,610,250,AZ
1.0,1.0,No,600,250,FL
1.0,1.0,No,600,250,AZ
1.0,1.0,No,600,250,GA
1.0,1.0,No,600,250,CA
1.0,1.0,No,600,250,FL
1.0,1.0,No,600,250,MI
1.0,1.0,No,600,250,NC
1.0,1.0,No,595,250,VA
1.0,1.0,No,580,250,FL
1.0,1.0,No,575,250,PA
1.0,1.0,No,575,250,FL
1.0,1.0,No,550,250,MD
1.0,1.0,No,550,250,VA
1.0,1.0,No,500,250,SC
1.0,1.0,No,500,250,TX
1.0,1.0,No,500,250,AZ
1.0,1.0,Yes,499,250,KY
1.0,1.0,No,495,250,AZ
1.0,1.0,No,200,250,MD
1.0,0.0,Yes,1325,253,WA
1.0,0.0,Yes,1400,255,WA
1.0,0.0,Yes,1995,258,CA
1.0,1.0,Yes,710,265,WI
1.0,1.0,Yes,1659,272,DC
1.0,1.0,No,1600,272,CA
1.0,1.0,Yes,850,273,IN
1.0,0.0,Yes,1900,275,CA
1.0,1.0,No,1505,275,CA
1.0,1.0,No,900,275,AZ
1.0,0.0,Yes,892,275,IL
1.0,1.0,No,705,275,OH
1.0,1.0,No,1240,280,MD
1.0,1.0,Yes,870,285,AK
1.0,0.0,Yes,1095,286,IL
1.0,0.0,Yes,1350,288,WA
